id,ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend,edited
0,50,50,100,50,100,50,50,50,50,100,100,50,0,50,50,100,100,True
1,50,100,0,100,100,100,100,100,50,50,100,50,0,100,50,50,50,True
2,50,50,50,100,100,100,0,100,50,100,50,50,0,50,50,100,50,True
3,50,50,0,100,50,50,100,50,100,100,100,100,50,50,50,50,100,True
4,100,50,0,100,100,100,50,100,50,100,100,0,0,50,50,100,100,True
5,0,50,0,50,100,50,50,50,50,100,0,50,0,50,50,100,100,True
6,0,50,0,100,100,100,50,100,50,100,0,0,0,100,50,100,100,True
7,50,50,0,50,100,50,50,100,50,50,50,50,0,50,50,100,50,True
8,50,0,50,50,50,0,50,100,50,50,50,50,0,100,50,50,50,True
9,0,0,100,50,50,50,50,50,50,50,0,50,0,100,50,0,50,True
