,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.5,0.25,0.6,0.0,0.6,0.0,0.2857,0.0,0.5,0.25,0.1667,0.5,0.6,0.7143,0.6667,0.25,0.2857,0.25,0.1667,0.5,0.25,0.25,0.0,0.5,0.6,0.6,0.5,0.5,0.5
1,0.4,0.0,0.25,0.2,0.4,0.2,0.4,0.5714,0.4,0.0,0.25,0.5,0.0,0.2,0.4286,0.3333,0.25,0.5714,0.25,0.5,0.0,0.25,0.25,0.4,0.0,0.2,0.2,0.0,0.0,0.0
2,0.2,0.25,0.0,0.4,0.2,0.4,0.2,0.4286,0.2,0.25,0.0,0.3333,0.25,0.4,0.5714,0.5,0.0,0.4286,0.0,0.3333,0.25,0.0,0.0,0.2,0.25,0.4,0.4,0.25,0.25,0.25
3,0.6,0.25,0.5,0.0,0.6,0.0,0.6,0.7143,0.6,0.25,0.5,0.6667,0.25,0.0,0.2857,0.1667,0.5,0.7143,0.5,0.6667,0.25,0.5,0.5,0.6,0.25,0.0,0.0,0.25,0.25,0.25
4,0.0,0.5,0.25,0.6,0.0,0.6,0.0,0.2857,0.0,0.5,0.25,0.1667,0.5,0.6,0.7143,0.6667,0.25,0.2857,0.25,0.1667,0.5,0.25,0.25,0.0,0.5,0.6,0.6,0.5,0.5,0.5
5,0.6,0.25,0.5,0.0,0.6,0.0,0.6,0.7143,0.6,0.25,0.5,0.6667,0.25,0.0,0.2857,0.1667,0.5,0.7143,0.5,0.6667,0.25,0.5,0.5,0.6,0.25,0.0,0.0,0.25,0.25,0.25
6,0.0,0.5,0.25,0.6,0.0,0.6,0.0,0.2857,0.0,0.5,0.25,0.1667,0.5,0.6,0.7143,0.6667,0.25,0.2857,0.25,0.1667,0.5,0.25,0.25,0.0,0.5,0.6,0.6,0.5,0.5,0.5
7,0.4,1.0,0.75,1.0,0.4,1.0,0.4,0.0,0.4,1.0,0.75,0.1667,1.0,1.0,1.0,1.0,0.75,0.0,0.75,0.1667,1.0,0.75,0.75,0.4,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0,0.5,0.25,0.6,0.0,0.6,0.0,0.2857,0.0,0.5,0.25,0.1667,0.5,0.6,0.7143,0.6667,0.25,0.2857,0.25,0.1667,0.5,0.25,0.25,0.0,0.5,0.6,0.6,0.5,0.5,0.5
9,0.4,0.0,0.25,0.2,0.4,0.2,0.4,0.5714,0.4,0.0,0.25,0.5,0.0,0.2,0.4286,0.3333,0.25,0.5714,0.25,0.5,0.0,0.25,0.25,0.4,0.0,0.2,0.2,0.0,0.0,0.0
10,0.2,0.25,0.0,0.4,0.2,0.4,0.2,0.4286,0.2,0.25,0.0,0.3333,0.25,0.4,0.5714,0.5,0.0,0.4286,0.0,0.3333,0.25,0.0,0.0,0.2,0.25,0.4,0.4,0.25,0.25,0.25
11,0.2,0.75,0.5,0.8,0.2,0.8,0.2,0.1429,0.2,0.75,0.5,0.0,0.75,0.8,0.8571,0.8333,0.5,0.1429,0.5,0.0,0.75,0.5,0.5,0.2,0.75,0.8,0.8,0.75,0.75,0.75
12,0.4,0.0,0.25,0.2,0.4,0.2,0.4,0.5714,0.4,0.0,0.25,0.5,0.0,0.2,0.4286,0.3333,0.25,0.5714,0.25,0.5,0.0,0.25,0.25,0.4,0.0,0.2,0.2,0.0,0.0,0.0
13,0.6,0.25,0.5,0.0,0.6,0.0,0.6,0.7143,0.6,0.25,0.5,0.6667,0.25,0.0,0.2857,0.1667,0.5,0.7143,0.5,0.6667,0.25,0.5,0.5,0.6,0.25,0.0,0.0,0.25,0.25,0.25
14,1.0,0.75,1.0,0.4,1.0,0.4,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.4,0.0,0.1667,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.4,0.4,0.75,0.75,0.75
15,0.8,0.5,0.75,0.2,0.8,0.2,0.8,0.8571,0.8,0.5,0.75,0.8333,0.5,0.2,0.1429,0.0,0.75,0.8571,0.75,0.8333,0.5,0.75,0.75,0.8,0.5,0.2,0.2,0.5,0.5,0.5
16,0.2,0.25,0.0,0.4,0.2,0.4,0.2,0.4286,0.2,0.25,0.0,0.3333,0.25,0.4,0.5714,0.5,0.0,0.4286,0.0,0.3333,0.25,0.0,0.0,0.2,0.25,0.4,0.4,0.25,0.25,0.25
17,0.4,1.0,0.75,1.0,0.4,1.0,0.4,0.0,0.4,1.0,0.75,0.1667,1.0,1.0,1.0,1.0,0.75,0.0,0.75,0.1667,1.0,0.75,0.75,0.4,1.0,1.0,1.0,1.0,1.0,1.0
18,0.2,0.25,0.0,0.4,0.2,0.4,0.2,0.4286,0.2,0.25,0.0,0.3333,0.25,0.4,0.5714,0.5,0.0,0.4286,0.0,0.3333,0.25,0.0,0.0,0.2,0.25,0.4,0.4,0.25,0.25,0.25
19,0.2,0.75,0.5,0.8,0.2,0.8,0.2,0.1429,0.2,0.75,0.5,0.0,0.75,0.8,0.8571,0.8333,0.5,0.1429,0.5,0.0,0.75,0.5,0.5,0.2,0.75,0.8,0.8,0.75,0.75,0.75
20,0.4,0.0,0.25,0.2,0.4,0.2,0.4,0.5714,0.4,0.0,0.25,0.5,0.0,0.2,0.4286,0.3333,0.25,0.5714,0.25,0.5,0.0,0.25,0.25,0.4,0.0,0.2,0.2,0.0,0.0,0.0
