,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.25,0.5,0.0,0.5,0.25,0.6667,0.5,0.75,0.0,0.5,0.75,0.6667,0.25,0.25,0.25,0.6667,0.5,0.6667,0.6667,0.75,0.75,0.5,0.75,0.75,0.6667,0.5,0.75,0.0,0.0
1,0.3333,0.0,1.0,0.3333,1.0,0.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.3333
2,0.3333,0.5,0.0,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.5,0.5,0.5,0.3333,0.0,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.3333,0.0,0.5,0.3333,0.3333
3,0.0,0.25,0.5,0.0,0.5,0.25,0.6667,0.5,0.75,0.0,0.5,0.75,0.6667,0.25,0.25,0.25,0.6667,0.5,0.6667,0.6667,0.75,0.75,0.5,0.75,0.75,0.6667,0.5,0.75,0.0,0.0
4,0.3333,0.5,0.0,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.5,0.5,0.5,0.3333,0.0,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.3333,0.0,0.5,0.3333,0.3333
5,0.3333,0.0,1.0,0.3333,1.0,0.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.3333
6,0.6667,0.75,0.5,0.6667,0.5,0.75,0.0,0.5,0.25,0.6667,0.5,0.25,0.0,0.75,0.75,0.75,0.0,0.5,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,0.5,0.25,0.6667,0.6667
7,0.3333,0.5,0.0,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.5,0.5,0.5,0.3333,0.0,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.3333,0.0,0.5,0.3333,0.3333
8,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,0.0,1.0,1.0,0.0,0.3333,1.0,1.0,1.0,0.3333,1.0,0.3333,0.3333,0.0,0.0,1.0,0.0,0.0,0.3333,1.0,0.0,1.0,1.0
9,0.0,0.25,0.5,0.0,0.5,0.25,0.6667,0.5,0.75,0.0,0.5,0.75,0.6667,0.25,0.25,0.25,0.6667,0.5,0.6667,0.6667,0.75,0.75,0.5,0.75,0.75,0.6667,0.5,0.75,0.0,0.0
10,0.3333,0.5,0.0,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.0,0.5,0.3333,0.5,0.5,0.5,0.3333,0.0,0.3333,0.3333,0.5,0.5,0.0,0.5,0.5,0.3333,0.0,0.5,0.3333,0.3333
