,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
12,0.1667,0.25,0.2857,0.25,0.7143,0.6,0.0,0.0,0.1667,0.5,0.1667,0.0,0.0,0.1667,0.25,0.0,0.0,0.25,0.2857,0.6667,0.7143,0.5,0.6667,0.5,0.25,0.5,0.2857,0.25,0.0,0.1667
13,0.0,0.5,0.1429,0.5,0.8571,0.8,0.2,0.2,0.0,0.75,0.0,0.2,0.2,0.0,0.5,0.2,0.2,0.5,0.1429,0.8333,0.8571,0.75,0.8333,0.75,0.5,0.75,0.1429,0.5,0.2,0.0
14,0.3333,0.0,0.4286,0.0,0.5714,0.4,0.2,0.2,0.3333,0.25,0.3333,0.2,0.2,0.3333,0.0,0.2,0.2,0.0,0.4286,0.5,0.5714,0.25,0.5,0.25,0.0,0.25,0.4286,0.0,0.2,0.3333
15,0.1667,0.25,0.2857,0.25,0.7143,0.6,0.0,0.0,0.1667,0.5,0.1667,0.0,0.0,0.1667,0.25,0.0,0.0,0.25,0.2857,0.6667,0.7143,0.5,0.6667,0.5,0.25,0.5,0.2857,0.25,0.0,0.1667
16,0.1667,0.25,0.2857,0.25,0.7143,0.6,0.0,0.0,0.1667,0.5,0.1667,0.0,0.0,0.1667,0.25,0.0,0.0,0.25,0.2857,0.6667,0.7143,0.5,0.6667,0.5,0.25,0.5,0.2857,0.25,0.0,0.1667
17,0.3333,0.0,0.4286,0.0,0.5714,0.4,0.2,0.2,0.3333,0.25,0.3333,0.2,0.2,0.3333,0.0,0.2,0.2,0.0,0.4286,0.5,0.5714,0.25,0.5,0.25,0.0,0.25,0.4286,0.0,0.2,0.3333
18,0.1667,0.75,0.0,0.75,1.0,1.0,0.4,0.4,0.1667,1.0,0.1667,0.4,0.4,0.1667,0.75,0.4,0.4,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.75,0.4,0.1667
19,0.8333,0.75,0.8571,0.75,0.1429,0.2,0.8,0.8,0.8333,0.5,0.8333,0.8,0.8,0.8333,0.75,0.8,0.8,0.75,0.8571,0.0,0.1429,0.5,0.0,0.5,0.75,0.5,0.8571,0.75,0.8,0.8333
20,1.0,1.0,1.0,1.0,0.0,0.4,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1667,0.0,0.75,0.1667,0.75,1.0,0.75,1.0,1.0,1.0,1.0
21,0.5,0.25,0.5714,0.25,0.4286,0.2,0.4,0.4,0.5,0.0,0.5,0.4,0.4,0.5,0.25,0.4,0.4,0.25,0.5714,0.3333,0.4286,0.0,0.3333,0.0,0.25,0.0,0.5714,0.25,0.4,0.5
22,0.8333,0.75,0.8571,0.75,0.1429,0.2,0.8,0.8,0.8333,0.5,0.8333,0.8,0.8,0.8333,0.75,0.8,0.8,0.75,0.8571,0.0,0.1429,0.5,0.0,0.5,0.75,0.5,0.8571,0.75,0.8,0.8333
23,0.5,0.25,0.5714,0.25,0.4286,0.2,0.4,0.4,0.5,0.0,0.5,0.4,0.4,0.5,0.25,0.4,0.4,0.25,0.5714,0.3333,0.4286,0.0,0.3333,0.0,0.25,0.0,0.5714,0.25,0.4,0.5
24,0.3333,0.0,0.4286,0.0,0.5714,0.4,0.2,0.2,0.3333,0.25,0.3333,0.2,0.2,0.3333,0.0,0.2,0.2,0.0,0.4286,0.5,0.5714,0.25,0.5,0.25,0.0,0.25,0.4286,0.0,0.2,0.3333
25,0.5,0.25,0.5714,0.25,0.4286,0.2,0.4,0.4,0.5,0.0,0.5,0.4,0.4,0.5,0.25,0.4,0.4,0.25,0.5714,0.3333,0.4286,0.0,0.3333,0.0,0.25,0.0,0.5714,0.25,0.4,0.5
26,0.1667,0.75,0.0,0.75,1.0,1.0,0.4,0.4,0.1667,1.0,0.1667,0.4,0.4,0.1667,0.75,0.4,0.4,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.75,0.4,0.1667
27,0.3333,0.0,0.4286,0.0,0.5714,0.4,0.2,0.2,0.3333,0.25,0.3333,0.2,0.2,0.3333,0.0,0.2,0.2,0.0,0.4286,0.5,0.5714,0.25,0.5,0.25,0.0,0.25,0.4286,0.0,0.2,0.3333
28,0.1667,0.25,0.2857,0.25,0.7143,0.6,0.0,0.0,0.1667,0.5,0.1667,0.0,0.0,0.1667,0.25,0.0,0.0,0.25,0.2857,0.6667,0.7143,0.5,0.6667,0.5,0.25,0.5,0.2857,0.25,0.0,0.1667
29,0.0,0.5,0.1429,0.5,0.8571,0.8,0.2,0.2,0.0,0.75,0.0,0.2,0.2,0.0,0.5,0.2,0.2,0.5,0.1429,0.8333,0.8571,0.75,0.8333,0.75,0.5,0.75,0.1429,0.5,0.2,0.0
