,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.75,0.25,0.5,0.75,0.5,0.75,0.25,0.0,0.5,0.75,0.75,0.5,0.0,0.5,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.0,0.25,0.5,0.5,0.75,0.5,0.75
1,0.75,0.0,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.25,0.75,0.0,0.5,0.5,0.5,0.75,0.75,0.25,0.5,0.5,0.0,0.5,0.0
2,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5
3,0.25,0.25,0.5,0.0,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.25,0.0,0.25
4,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.5,0.75,0.75,0.5,0.25,0.0,0.25,0.75,0.5,0.0,0.75,0.75,0.0,0.5,0.0,0.5,0.25,0.0,0.75,0.75,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.75,0.5,0.75
6,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
8,0.0,0.75,0.25,0.5,0.75,0.5,0.75,0.25,0.0,0.5,0.75,0.75,0.5,0.0,0.5,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.0,0.25,0.5,0.5,0.75,0.5,0.75
9,0.5,0.75,0.75,0.5,0.25,0.0,0.25,0.75,0.5,0.0,0.75,0.75,0.0,0.5,0.0,0.5,0.25,0.0,0.75,0.75,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.75,0.5,0.75
10,0.75,0.5,0.75,0.5,0.25,0.75,0.25,0.25,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.0,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5
11,0.75,0.5,0.75,0.5,0.25,0.75,0.25,0.25,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.0,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5
12,0.5,0.75,0.75,0.5,0.25,0.0,0.25,0.75,0.5,0.0,0.75,0.75,0.0,0.5,0.0,0.5,0.25,0.0,0.75,0.75,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.75,0.5,0.75
